epoch,step,time_forward,train_loss,valid_loss
0,0,,,14507.98046875
0,0,1.245474100112915,14669.447265625,
1,1,,,14241.1337890625
1,1,2.76629900932312,14410.8701171875,
2,2,,,14046.8486328125
2,2,1.727349042892456,14176.5634765625,
3,3,,,13855.328125
3,3,2.011327028274536,13980.2109375,
4,4,,,13686.3984375
4,4,2.1191468238830566,13806.7919921875,
5,5,,,13526.10546875
5,5,1.9168009757995605,13648.048828125,
6,6,,,13398.7197265625
6,6,1.5551929473876953,13489.5380859375,
7,7,,,13261.41015625
7,7,2.0343308448791504,13345.6982421875,
8,8,,,13118.0302734375
8,8,2.022686004638672,13220.953125,
9,9,,,13007.3125
9,9,2.3105809688568115,13098.23046875,
10,10,,,12899.6279296875
10,10,5.99235200881958,12987.09765625,
11,11,,,12827.890625
11,11,4.331199645996094,12886.3310546875,
12,12,,,12777.01953125
12,12,1.6988201141357422,12808.9482421875,
13,13,,,12689.8232421875
13,13,1.962623119354248,12737.4873046875,
14,14,,,12651.3232421875
14,14,1.9979709386825562,12672.6865234375,
15,15,,,12587.24609375
15,15,1.6674439907073975,12628.390625,
16,16,,,12530.3037109375
16,16,2.3041858673095703,12572.5400390625,
17,17,,,12489.291015625
17,17,1.9301457405090332,12523.890625,
18,18,,,12428.423828125
18,18,2.4825568199157715,12471.220703125,
19,19,,,12359.59765625
19,19,1.851478934288025,12410.8603515625,
20,20,,,12300.767578125
20,20,2.453136920928955,12359.5029296875,
