epoch,step,time_forward,train_loss,valid_loss
0,12,,,12743.060546875
0,12,4.317426681518555,13579.7099609375,
1,25,,,12081.1025390625
1,25,4.577633857727051,12408.8359375,
2,38,,,11663.0078125
2,38,3.861215114593506,11879.75390625,
3,51,,,11323.400390625
3,51,0.9964042901992798,11515.2109375,
4,64,,,11040.37109375
4,64,0.9501597285270691,11218.044921875,
5,77,,,10799.220703125
5,77,1.006584882736206,10967.6669921875,
6,90,,,10625.169921875
6,90,1.0017229318618774,10764.3759765625,
7,103,,,10500.755859375
7,103,0.959240198135376,10607.6904296875,
8,116,,,10415.54296875
8,116,0.966733992099762,10501.390625,
9,129,,,10355.361328125
9,129,1.0941630601882935,10420.232421875,
10,142,,,10311.62890625
10,142,1.035269021987915,10358.9384765625,
11,155,,,10264.3818359375
11,155,0.9717358350753784,10305.8720703125,
