epoch,step,time_forward,train_loss,valid_loss
101,101,,,10402.125
101,101,1.7517659664154053,10451.1455078125,
102,102,,,10392.521484375
102,102,1.789783000946045,10442.7490234375,
103,103,,,10392.193359375
103,103,1.7330999374389648,10438.1025390625,
104,104,,,10384.58984375
104,104,1.8514068126678467,10425.0087890625,
105,105,,,10373.66015625
105,105,1.9395278692245483,10420.953125,
106,106,,,10373.8662109375
106,106,1.8359332084655762,10410.5380859375,
107,107,,,10373.8955078125
107,107,2.014315128326416,10401.4599609375,
108,108,,,10360.4775390625
108,108,1.5842533111572266,10396.443359375,
109,109,,,10356.1904296875
109,109,1.7227530479431152,10388.283203125,
110,110,,,10342.455078125
110,110,1.785006046295166,10380.837890625,
111,111,,,10341.298828125
111,111,1.5653371810913086,10376.0927734375,
112,112,,,10336.1337890625
112,112,1.6522760391235352,10369.048828125,
113,113,,,10330.09765625
113,113,1.718656063079834,10365.3447265625,
114,114,,,10313.5048828125
114,114,1.4574668407440186,10353.6201171875,
115,115,,,10317.91796875
115,115,1.4003009796142578,10347.3427734375,
116,116,,,10309.96484375
116,116,1.7612429857254028,10342.431640625,
117,117,,,10309.1376953125
117,117,1.4336121082305908,10339.4521484375,
118,118,,,10302.26171875
118,118,1.4943640232086182,10327.1923828125,
119,119,,,10295.4287109375
119,119,1.5068591833114624,10322.4990234375,
120,120,,,10294.4560546875
120,120,1.499833106994629,10317.3505859375,
121,121,,,10289.6630859375
121,121,1.6682591438293457,10308.8525390625,
122,122,,,10281.517578125
122,122,1.5728540420532227,10306.056640625,
123,123,,,10277.8291015625
123,123,1.4939489364624023,10302.322265625,
124,124,,,10269.20703125
124,124,1.8351609706878662,10293.1240234375,
125,125,,,10270.98046875
125,125,1.7550857067108154,10288.5341796875,
126,126,,,10259.2666015625
126,126,1.6791518926620483,10279.9541015625,
127,127,,,10262.1376953125
127,127,1.8317642211914062,10279.6162109375,
128,128,,,10256.4892578125
128,128,1.7989699840545654,10267.3701171875,
129,129,,,10242.73828125
129,129,1.6299231052398682,10269.5576171875,
130,130,,,10244.67578125
130,130,1.7442927360534668,10259.2001953125,
131,131,,,10244.37109375
131,131,1.9261622428894043,10254.271484375,
132,132,,,10233.9462890625
132,132,1.5647189617156982,10249.43359375,
133,133,,,10234.49609375
133,133,1.4613897800445557,10244.888671875,
134,134,,,10221.1689453125
134,134,1.5768868923187256,10239.896484375,
135,135,,,10220.7548828125
135,135,1.4481489658355713,10233.14453125,
136,136,,,10222.5400390625
136,136,1.6737027168273926,10228.8173828125,
137,137,,,10211.5361328125
137,137,1.5557801723480225,10222.654296875,
138,138,,,10209.5185546875
138,138,1.6117241382598877,10216.7412109375,
139,139,,,10207.8056640625
139,139,1.3469679355621338,10210.5859375,
140,140,,,10192.57421875
140,140,1.3651831150054932,10210.0390625,
141,141,,,10194.6669921875
141,141,1.2939850091934204,10202.390625,
142,142,,,10196.23828125
142,142,1.4448072910308838,10197.60546875,
143,143,,,10183.7041015625
143,143,1.4454309940338135,10192.345703125,
144,144,,,10184.3291015625
144,144,1.454845905303955,10187.9921875,
145,145,,,10177.5048828125
145,145,1.521212100982666,10182.7109375,
146,146,,,10174.2421875
146,146,3.051154136657715,10180.4091796875,
147,147,,,10177.2548828125
147,147,1.229902744293213,10174.8876953125,
148,148,,,10170.333984375
148,148,1.9682689905166626,10167.5595703125,
149,149,,,10163.9150390625
149,149,1.3555538654327393,10168.53125,
150,150,,,10161.498046875
150,150,1.5149590969085693,10163.228515625,
151,151,,,10165.7451171875
151,151,1.4624698162078857,10156.2275390625,
152,152,,,10151.1123046875
152,152,1.537913203239441,10154.3837890625,
153,153,,,10147.169921875
153,153,1.5706958770751953,10147.712890625,
154,154,,,10145.7255859375
154,154,1.4356467723846436,10143.58984375,
155,155,,,10145.0693359375
155,155,1.4664442539215088,10138.1591796875,
156,156,,,10138.7099609375
156,156,1.5560691356658936,10137.1357421875,
157,157,,,10135.9619140625
157,157,1.5516159534454346,10130.76171875,
158,158,,,10127.9921875
158,158,1.5454058647155762,10126.9658203125,
159,159,,,10129.9765625
159,159,1.6356909275054932,10125.9345703125,
160,160,,,10123.599609375
160,160,1.521921992301941,10117.728515625,
161,161,,,10120.267578125
161,161,1.5351848602294922,10114.5478515625,
162,162,,,10119.09375
162,162,1.7863211631774902,10114.451171875,
163,163,,,10112.88671875
163,163,1.7327380180358887,10105.9833984375,
164,164,,,10111.9375
