time_ms,psth_zscore,unit_id,channel,fov,condition,stim_name,stimulation_id
40.0,0.1467856596468906,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
50.0,-0.34954592017375785,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
60.0,-0.6543033086616941,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
70.0,-0.803875423834288,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
80.0,-0.8629748944456799,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
90.0,-0.8816370543555443,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
100.0,-0.8863973721458842,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
110.0,-0.4234394880187319,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
120.0,-0.47809500201404187,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
130.0,-0.14227591926858857,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
140.0,0.1363011807127209,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
150.0,-0.13400505036659394,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
160.0,0.028682068986509768,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
170.0,-0.25959237565284726,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
180.0,-0.5219287287554056,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
190.0,-0.7111458457949913,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
200.0,-0.8184740422967574,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
210.0,-0.4020462009566434,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
220.0,-0.4727868685991894,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
230.0,-0.6050782101642258,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
240.0,-0.27286019150666413,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
250.0,-0.4153242123482524,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
260.0,-0.5857141137402531,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
270.0,-0.731680130769537,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
280.0,-0.8236265824800947,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
290.0,-0.4030607962757013,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
300.0,0.4546913105986856,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
310.0,0.21355572073757467,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
320.0,0.28977813245665274,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
330.0,-0.1141656193241169,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
340.0,0.0036443518060210733,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
350.0,-0.2816057818325757,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
360.0,-0.06818545391706643,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
370.0,-0.3049522298893126,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
380.0,-0.5378582891711264,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
390.0,-0.7154393838907858,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
400.0,-0.355516158169605,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
410.0,0.47093205747743677,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
420.0,1.1454830312627595,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
430.0,1.1092710654459959,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
440.0,0.9124451840854102,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
450.0,0.2503030240663616,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
460.0,0.6435717664591519,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
470.0,0.6604659950012043,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
480.0,0.18018266759440077,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
490.0,-0.27706260343163414,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
500.0,-0.14099588344117472,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
510.0,0.09042024590307689,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
520.0,-0.16593647469116302,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
530.0,0.015485108064932307,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
540.0,-0.26341913405409645,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
550.0,0.8686629278011369,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
560.0,0.516649457326194,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
570.0,0.4893003298629131,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
580.0,0.45900865403045993,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
590.0,0.4606615485945327,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
600.0,1.4074047856719192,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
610.0,1.3146382770434966,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
620.0,1.06645193402369,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
630.0,1.271364623219913,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
640.0,1.041795504388074,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
