stimulation_id,time_ms,pc1,pc2,during_stimulation
0,-50.0,-0.8110934635589163,0.5325395810915716,False
0,-40.0,-0.911158572286749,0.625160866274781,False
0,-30.0,-0.3291410750384452,1.6345758150482497,False
0,-20.0,-0.5853223857988384,1.30650657049449,False
0,-10.0,-0.72089081879188,1.3987650125252118,False
0,0.0,-0.6303957151706121,1.388705672971203,True
0,10.0,-0.5871290607552085,1.8140114619117234,True
0,20.0,-0.790948997668612,1.3630168202712338,True
0,30.0,-0.8414473658484404,1.234342574914678,True
0,40.0,-0.8386825317395592,0.9526350256031969,True
0,50.0,-0.93060023426563,0.5495306560047775,True
0,60.0,-0.6412024564773472,0.9489205218994212,True
0,70.0,-0.6420483083493937,0.6022183876728744,True
0,80.0,-0.6567396139509336,0.39190732948949597,True
0,90.0,-0.37720889225558285,0.2600847539573905,True
0,100.0,0.3303179377387933,-0.37136225500715364,True
0,110.0,1.1071097798426728,0.027733284661887743,True
0,120.0,1.3056150254700412,0.2997136216920278,True
0,130.0,0.9633006782438798,0.4070052159906677,True
0,140.0,0.47032001961042297,0.7049127197814524,True
0,150.0,-0.18788845527274844,0.29604771344262476,True
0,160.0,-0.45202342091030306,0.43265538490910754,True
0,170.0,-0.4961608756564014,0.04158574207557542,True
0,180.0,0.1841759181867176,-0.30312711854979335,True
0,190.0,0.1435121108274398,-0.4562221776297091,True
0,200.0,0.448941595395513,-0.5668558706362088,True
0,210.0,0.5704860363152736,-0.9353419527974476,True
0,220.0,0.4512348839807331,-0.5278975415634192,True
0,230.0,0.4091293174396997,0.5680484367086899,True
0,240.0,0.8883346204801585,1.3959961929938671,True
0,250.0,0.21316874615085551,1.059007980907471,True
0,260.0,0.20341076978313677,1.4037153985026363,True
0,270.0,-0.19110112160249457,0.7738474320248339,True
0,280.0,-0.43409587900290225,-0.024710813956655385,True
0,290.0,-0.812003650948026,-0.4582269920178045,True
0,300.0,-1.187357347929896,-0.7806249482119627,True
0,310.0,-1.2072575932880376,-0.5510042976461444,True
0,320.0,-1.2693156138885697,-0.5266432046585077,True
0,330.0,-0.6508036215629371,-0.3427432836307959,True
0,340.0,-0.5068332711576975,0.1332050990074311,True
0,350.0,0.022391101115761796,1.0050322633303512,True
0,360.0,0.727663410666982,1.5677127245889173,True
0,370.0,2.110383830768228,1.9482350082774464,True
0,380.0,2.0749259391234607,1.403456752215158,True
0,390.0,1.7478320492847277,1.084402973460749,True
0,400.0,1.442751385336967,0.6758870332997355,True
0,410.0,0.3423897255796395,0.25349717743272393,True
0,420.0,0.7289947137184078,0.01097315320838369,True
0,430.0,0.23591225431536672,-0.1505795781156687,True
0,440.0,1.7715585467826451,0.15260515987245285,True
0,450.0,1.5377951798841076,0.4252613726405556,True
0,460.0,0.8349293974472171,0.6464602218742037,True
0,470.0,0.07059252276997155,0.411259020037478,True
0,480.0,-0.3725385799587591,-0.09249747693756326,True
0,490.0,-0.6942979726226882,-0.18042964779932916,True
